,Name,Score,Category,Price_Range
0,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$
1,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
2,3. محامص ومطاحن السوادي,9.2,Snacks,$
3,4. Fawal Alafrah,9.1,Breakfast,$
4,5. Finding Sushi,9.1,Sushi,$$
5,6. AL TYSEER,9.0,Middle Eastern,$$
6,7. AlNaqaa,9.0,Breakfast,$
7,8. مضغوط تهامة,9.0,Fried Chicken,$
8,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$
9,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
10,3. محامص ومطاحن السوادي,9.2,Snacks,$
11,4. Fawal Alafrah,9.1,Breakfast,$
12,5. Finding Sushi,9.1,Sushi,$$
13,6. AL TYSEER,9.0,Middle Eastern,$$
14,7. AlNaqaa,9.0,Breakfast,$
15,8. مضغوط تهامة,9.0,Fried Chicken,$
16,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$
17,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
18,3. محامص ومطاحن السوادي,9.2,Snacks,$
19,4. Fawal Alafrah,9.1,Breakfast,$
20,5. Finding Sushi,9.1,Sushi,$$
21,6. AL TYSEER,9.0,Middle Eastern,$$
22,7. AlNaqaa,9.0,Breakfast,$
23,8. مضغوط تهامة,9.0,Fried Chicken,$
24,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$
25,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
26,3. محامص ومطاحن السوادي,9.2,Snacks,$
27,4. Fawal Alafrah,9.1,Breakfast,$
28,5. Finding Sushi,9.1,Sushi,$$
29,6. AL TYSEER,9.0,Middle Eastern,$$
30,7. AlNaqaa,9.0,Breakfast,$
31,8. مضغوط تهامة,9.0,Fried Chicken,$
32,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$
33,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
34,3. محامص ومطاحن السوادي,9.2,Snacks,$
35,4. Fawal Alafrah,9.1,Breakfast,$
36,5. Finding Sushi,9.1,Sushi,$$
37,6. AL TYSEER,9.0,Middle Eastern,$$
38,7. AlNaqaa,9.0,Breakfast,$
39,8. مضغوط تهامة,9.0,Fried Chicken,$
40,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$
41,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
42,3. محامص ومطاحن السوادي,9.2,Snacks,$
43,4. Fawal Alafrah,9.1,Breakfast,$
44,5. Finding Sushi,9.1,Sushi,$$
45,6. AL TYSEER,9.0,Middle Eastern,$$
46,7. AlNaqaa,9.0,Breakfast,$
47,8. مضغوط تهامة,9.0,Fried Chicken,$
48,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$
49,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
50,3. محامص ومطاحن السوادي,9.2,Snacks,$
51,4. Fawal Alafrah,9.1,Breakfast,$
52,5. Finding Sushi,9.1,Sushi,$$
53,6. AL TYSEER,9.0,Middle Eastern,$$
54,7. AlNaqaa,9.0,Breakfast,$
55,8. مضغوط تهامة,9.0,Fried Chicken,$
56,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$
57,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
58,3. محامص ومطاحن السوادي,9.2,Snacks,$
59,4. Fawal Alafrah,9.1,Breakfast,$
60,5. Finding Sushi,9.1,Sushi,$$
61,6. AL TYSEER,9.0,Middle Eastern,$$
62,7. AlNaqaa,9.0,Breakfast,$
63,8. مضغوط تهامة,9.0,Fried Chicken,$
64,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$
65,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
66,3. محامص ومطاحن السوادي,9.2,Snacks,$
67,4. Fawal Alafrah,9.1,Breakfast,$
68,5. Finding Sushi,9.1,Sushi,$$
69,6. AL TYSEER,9.0,Middle Eastern,$$
70,7. AlNaqaa,9.0,Breakfast,$
71,8. مضغوط تهامة,9.0,Fried Chicken,$
72,1. فرن صحيفة وفطائر شامية,9.3,Bakery,$
73,2. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
74,3. محامص ومطاحن السوادي,9.2,Snacks,$
75,4. Fawal Alafrah,9.1,Breakfast,$
76,5. Finding Sushi,9.1,Sushi,$$
77,6. AL TYSEER,9.0,Middle Eastern,$$
78,7. AlNaqaa,9.0,Breakfast,$
79,8. مضغوط تهامة,9.0,Fried Chicken,$
80,1. Dunkin’,9.6,Donuts,$
81,2. Plenty Sld’s,9.6,Salad,$
82,3. Shml,9.5,Café,$
83,4. Dunkin,9.5,Donuts,$
84,5. شاهي ابو وليد,9.5,Café,$
85,6. Aseeb Najdi Restaurant,9.5,Restaurant,$
86,7. Easy Bakery,9.5,Bakery,$
87,8. The Sift,9.5,Bakery,$
